header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Lhakpa Wangchu,Sherpa,Lhakpa Wangchu Sherpa (Pangboche),Nepal, (Pangboche),M,31,1986,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0845,8.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-32,05,1,S Col-SE Ridge,,1,1,Shangri-La Nepal Treks,,2018,1,0,FALSE
,Ming Dukpa,Sherpa,Ming Dukpa Sherpa (Makalu-5),Nepal, (Makalu-5),M,21,1996,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-17,19,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2018,1,0,TRUE
,Ming Temba,Sherpa,Ming Temba Sherpa (Makalu-9),Nepal, (Makalu-9),M,29,1988,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-17,20,1,S Col-SE Ridge,,1,1,Seven Summit Treks,,2018,1,0,TRUE
,Mingma,Sherpa,Mingma Sherpa (Phortse),Nepal, (Phortse),M,41,1977,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,22-05-2018,0455,4.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 22,5, 1,2018 Spr,EVER,EVER-181-25,34,1,S Col-SE Ridge,,1,1,Beyul Adventure,,2018,1,0,FALSE
,Mingma (Ang Mingma),Sherpa,Mingma (Ang Mingma) Sherpa (Yilajung),Nepal, (Yilajung),M,50,1968,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,2,16-05-2018,0720,7.33,20-05-2018,,5.9,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-79,06,2,N Col-NE Ridge,,1,1,Rolwaling Excursion,,2018,1,0,FALSE
,Mingma Chhiri,Sherpa,Mingma Chhiri Sherpa (Kharikhola),Nepal, (Kharikhola),M,27,1990,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,18-05-2018,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 18,5, 1,2018 Spr,EVER,EVER-181-38,06,1,S Col-SE Ridge,,1,1,Namaste Treks,,2018,1,0,FALSE
,Mingma Chhiri,Sherpa,Mingma Chhiri Sherpa (Chaurikharka-8),Nepal, (Chaurikharka-8),M,28,1990,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,21-05-2018,1345,13.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 21,5, 1,2018 Spr,EVER,EVER-181-40,07,1,S Col-SE Ridge,,1,1,Himalayan Trailblazer,,2018,1,0,TRUE
,Mingma Chhiri,Sherpa,Mingma Chhiri Sherpa (Beding),Nepal, (Beding),M,26,1992,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-58,11,1,S Col-SE Ridge,,1,1,Kaitu Expedition,,2018,1,0,FALSE
,Mingma Dorchi,Sherpa,Mingma Dorchi Sherpa (Tashigaon),Nepal, (Tashigaon),M,30,1987,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,16-05-2018,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-29,15,1,S Col-SE Ridge,,1,1,Pioneer Adventure,,2018,1,0,FALSE
,Mingma Dorchi/Dorje,Sherpa,Mingma Dorchi/Dorje Sherpa (Tashigaon),Nepal, (Tashigaon),M,37,1980,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,2,16-05-2018,0635,6.58,21-05-2018,,6.5,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,2018 Spr,EVER,EVER-181-73,15,2,N Col-NE Ridge,,1,1,Iceland Trekking,,2018,1,0,FALSE
