header,fname,lname,name,citizen,village,sex,age,yob,status,hired,leader,deputy,sherpa,tibetan,abovebc,success,solo,traverse,ski,o2used,o2none,smtcnt,msmtdate1,msmttime1,dsmttime1,msmtdate2,msmttime2,dsmttime2,msmtdate3,msmttime3,dsmttime3,claimed,disputed,inj,death,deathdate,deathtime,ddthtime,deathtype,deathclass,deathhgtm,ams,weather,mperhighpt,mperhighdt,msmtbid,msmtterm,yearseas,peakid,expid,membid,host,route1,route2,comrte,stdrte,agency,agntid,myear,mseason,maxatt,att1st
,Chuldim Dorje (Ang Dorje),Sherpa,Chuldim Dorje (Ang Dorje) Sherpa (Pangboche),Nepal, (Pangboche),M,29,1964,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,10,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,FALSE
,Dawa Tashi,Sherpa,Dawa Tashi Sherpa (Beding),Nepal, (Beding),M,30,1964,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,0830,8.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-07,11,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,FALSE
,Dawa Tshering (Dawa Chhiri),Sherpa,Dawa Tshering (Dawa Chhiri) Sherpa (Beding),Nepal, (Beding),M,22,1971,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,08-05-1994,1020,10.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-07,12,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,TRUE
,"Dorje (Dorje Lambu, Big Dorje)",Sherpa,"Dorje (Dorje Lambu, Big Dorje) Sherpa (Thamo)",Nepal, (Thamo),M,28,1965,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-02,15,1,S Col-SE Ridge,,1,1,Main Excursions,,1994,1,0,FALSE
,Kami Rita (Topke),Sherpa,Kami Rita (Topke) Sherpa (Thami),Nepal, (Thami),M,24,1970,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-02,16,1,S Col-SE Ridge,,1,1,Main Excursions,,1994,1,0,TRUE
,Lhakpa Nuru,Sherpa,Lhakpa Nuru Sherpa (Kharikhola),Nepal, (Kharikhola),M,28,,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,08-05-1994,1020,10.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-07,13,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,FALSE
,Lhakpa Rita,Sherpa,Lhakpa Rita Sherpa (Thami),Nepal, (Thami),M,27,1966,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-02,17,1,S Col-SE Ridge,,1,1,Main Excursions,,1994,1,0,FALSE
,Lobsang Jangbu,Sherpa,Lobsang Jangbu Sherpa (Beding),Nepal, (Beding),M,23,1971,H-A Worker,1,0,0,1,0,1,1,0,0,0,0,1,1,09-05-1994,0910,9.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-08,07,1,S Col-SE Ridge,,1,1,Himalayan Treks (Him Treks),,1994,1,0,FALSE
,Ngatemba (Nga Temba),Sherpa,Ngatemba (Nga Temba) Sherpa (Sikli),Nepal, (Sikli),M,38,1955,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,08-05-1994,1020,10.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-07,15,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,FALSE
,Nima Dorje (Dorje),Sherpa,Nima Dorje (Dorje) Sherpa (Beding),Nepal, (Beding),M,38,1955,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,08-05-1994,1020,10.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-07,16,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,FALSE
,Nima Gombu (Gombu),Sherpa,Nima Gombu (Gombu) Sherpa (Beding),Nepal, (Beding),M,25,1969,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,11,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,FALSE
,Nima Temba,Sherpa,Nima Temba Sherpa (Lukla),Nepal, (Lukla),M,37,1956,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,0830,8.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-07,17,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,TRUE
,Norbu/Nurbu (Nuru),Sherpa,Norbu/Nurbu (Nuru) Sherpa (Beding),Nepal, (Beding),M,26,1968,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,12,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,FALSE
,Pasang Tshering/Tshiring,Sherpa,Pasang Tshering/Tshiring Sherpa (Beding),Nepal, (Beding),M,31,1963,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,13-05-1994,0830,8.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-07,18,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,FALSE
,Sonam Dendu (Sona Dendu),Sherpa,Sonam Dendu (Sona Dendu) Sherpa (Khumjung),Nepal, (Khumjung),M,33,1960,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,09-05-1994,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-08,08,1,S Col-SE Ridge,,1,1,Himalayan Treks (Him Treks),,1994,1,0,FALSE
,Fang-Fang (Norman),Shih,Fang-Fang (Norman) Shih,Taiwan,,M,27,1967,Climber,0,0,0,0,0,1,1,0,1,0,1,0,1,08-05-1994,1718,17.3,  -   -,,0,  -   -,,0,0,0,0,1,09-05-1994,12:00,12, 2,5,8700,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-06,11,2,N Col-N Ridge-N Face up; Great Couloir down,,0,0,Peak Promotion,,1994,1,0,TRUE
,Robert (Bob),Sloezen,Robert (Bob) Sloezen,USA,,M,40,1953,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,31-05-1994,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 31,5, 1,1994 Spr,EVER,EVER-941-03,18,2,N Col-N Ridge-N Face,,1,1,Great Escapes Trekking,,1994,1,0,FALSE
,Kiyohiko,Suzuki,Kiyohiko Suzuki,Japan,,M,37,1957,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,08-05-1994,1020,10.33,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 8,5, 1,1994 Spr,EVER,EVER-941-07,09,1,S Pillar,,0,0,Himalayan Journeys,,1994,1,0,TRUE
,Steven J. (Steve),Swenson,Steven J. (Steve) Swenson,USA,,M,40,1954,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,25-05-1994,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 25,5, 1,1994 Spr,EVER,EVER-941-03,20,2,N Col-N Ridge-N Face,,1,1,Great Escapes Trekking,,1994,1,0,TRUE
,Man Bahadur (Gopal),Tamang,Man Bahadur (Gopal) Tamang (Jaidu),Nepal, (Jaidu),M,34,1959,H-A Worker,1,0,0,0,0,1,1,0,0,0,1,0,1,13-05-1994,1100,11,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1994 Spr,EVER,EVER-941-02,18,1,S Col-SE Ridge,,1,1,Main Excursions,,1994,1,0,FALSE
,David P.,Taylor,David P. Taylor,USA,,M,41,1952,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,07,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,TRUE
,Edmund Karl (Ed),Viesturs,Edmund Karl (Ed) Viesturs,USA,,M,34,1959,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,08,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,FALSE
,William Hall,Wendel,William Hall Wendel,USA,,M,51,1943,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,09-05-1994,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 9,5, 1,1994 Spr,EVER,EVER-941-04,09,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1994,1,0,TRUE
,Mark Anthony,Whetu,Mark Anthony Whetu,New Zealand,,M,34,1959,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-05-1994,1918,19.3,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,1994 Spr,EVER,EVER-941-03,23,2,N Col-N Ridge-N Face,,1,1,Great Escapes Trekking,,1994,1,0,FALSE
,Charles A. (Charlie),Hornsby,Charles A. (Charlie) Hornsby,UK,,M,32,1962,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-10-1994,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 11,5, 1,1994 Aut,EVER,EVER-943-02,04,1,S Col-SE Ridge,,1,1,Thamserku Trekking,,1994,3,0,TRUE
,Roderick W. (Roddy),Kirkwood,Roderick W. (Roddy) Kirkwood,UK,,M,30,1964,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-10-1994,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 11,5, 1,1994 Aut,EVER,EVER-943-02,05,1,S Col-SE Ridge,,1,1,Thamserku Trekking,,1994,3,0,TRUE
,Muneo,Nukita,Muneo Nukita,Japan,,M,43,1951,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,10-10-1994,1155,11.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 10,5, 1,1994 Aut,EVER,EVER-943-12,02,1,S Col-SE Ridge,,1,1,Trans Himalayan Trekking (THT),,1994,3,0,FALSE
,Apa (Appa),Sherpa,Apa (Appa) Sherpa (Thami Og),Nepal, (Thami Og),M,34,1960,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,10-10-1994,1155,11.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 10,5, 1,1994 Aut,EVER,EVER-943-12,03,1,S Col-SE Ridge,,1,1,Trans Himalayan Trekking (THT),,1994,3,0,FALSE
,Chhuwang Nima,Sherpa,Chhuwang Nima Sherpa (Tesho),Nepal, (Tesho),M,27,1967,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,10-10-1994,1155,11.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 10,5, 1,1994 Aut,EVER,EVER-943-12,04,1,S Col-SE Ridge,,1,1,Trans Himalayan Trekking (THT),,1994,3,0,FALSE
,Dawa Temba,Sherpa,Dawa Temba Sherpa (Thamo),Nepal, (Thamo),M,29,1965,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,11-10-1994,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 11,5, 1,1994 Aut,EVER,EVER-943-02,09,1,S Col-SE Ridge,,1,1,Thamserku Trekking,,1994,3,0,FALSE
,Dawa Tshering (Dawa Chhiri),Sherpa,Dawa Tshering (Dawa Chhiri) Sherpa (Thami),Nepal, (Thami),M,27,1966,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,10-10-1994,1155,11.92,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 10,5, 1,1994 Aut,EVER,EVER-943-12,05,1,S Col-SE Ridge,,1,1,Trans Himalayan Trekking (THT),,1994,3,0,TRUE
,"Dorje (Dorje Lambu, Big Dorje)",Sherpa,"Dorje (Dorje Lambu, Big Dorje) Sherpa (Thamo)",Nepal, (Thamo),M,29,1965,H-A Worker,1,0,0,1,0,1,1,0,0,0,1,0,1,11-10-1994,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,Oct 11,5, 1,1994 Aut,EVER,EVER-943-02,10,1,S Col-SE Ridge,,1,1,Thamserku Trekking,,1994,3,0,FALSE
,Dan,Aguilar,Dan Aguilar,USA,,M,46,1949,Leader,0,1,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-04,01,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,James,Allen,James Allen,Australia,,M,22,1973,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,27-05-1995,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1995 Spr,EVER,EVER-951-14,03,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Marco,Bianchi,Marco Bianchi,Italy,,M,32,1962,Leader,0,1,0,0,0,1,1,0,0,0,0,1,1,13-05-1995,1200,12,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-05,01,2,N Col-NE Ridge,,1,1,Thamserku Trekking,,1995,1,0,TRUE
,Sergei,Bogomolov,Sergei Bogomolov,Russia,,M,44,1951,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,13-05-1995,1600,16,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-06,06,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Anatoli,Boukreev,Anatoli Boukreev,Kazakhstan,,M,37,1958,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,17-05-1995,0930,9.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,1995 Spr,EVER,EVER-951-13,02,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,FALSE
,Julius,Budnick,Julius Budnick,USA,,M,37,1957,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,16-05-1995,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1995 Spr,EVER,EVER-951-04,04,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,Bradford C. (Brad),Bull,Bradford C. (Brad) Bull,USA,,M,28,1967,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,15-05-1995,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 15,5, 1,1995 Spr,EVER,EVER-951-12,03,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1995,1,0,TRUE
,Mozart,Catao,Mozart Catao,Brazil,,M,32,1962,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-13,03,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Kuo-Chun,Cheng,Kuo-Chun Cheng,Taiwan,,M,27,1968,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,12-05-1995,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1995 Spr,EVER,EVER-951-03,02,2,N Col-NE Ridge,,1,1,Surya Travel,,1995,1,0,TRUE
,Hsiu-Chen (Ann),Chiang,Ms. Hsiu-Chen (Ann) Chiang,Taiwan,,F,24,1971,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,12-05-1995,1130,11.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 12,5, 1,1995 Spr,EVER,EVER-951-03,03,2,N Col-NE Ridge,,1,1,Surya Travel,,1995,1,0,TRUE
,Gregory John (Greg),Child,Gregory John (Greg) Child,Australia,,M,38,1957,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-05-1995,1000,10,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,1995 Spr,EVER,EVER-951-08,03,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Fedor,Chouliev,Fedor Chouliev,Russia,,M,29,1966,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1995,1800,18,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1995 Spr,EVER,EVER-951-06,08,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Patrick (Pat),Falvey,Patrick (Pat) Falvey,Ireland,,M,37,1957,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,27-05-1995,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 27,5, 1,1995 Spr,EVER,EVER-951-14,06,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Kiyoshi,Furuno,Kiyoshi Furuno,Japan,,M,34,1961,Climbing Leader,0,0,1,0,0,1,1,0,0,0,1,0,1,11-05-1995,0645,6.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1995 Spr,EVER,EVER-951-02,03,2,NE Ridge,,0,0,Rolwaling Treks,,1995,1,0,TRUE
,Patrick,Hache,Patrick Hache,France,,M,52,1942,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-05-1995,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,1995 Spr,EVER,EVER-951-14,07,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Jeffrey S.,Hall,Jeffrey S. Hall,USA,,M,39,1955,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,0600,6,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-04,09,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,Alison Jane,Hargreaves,Ms. Alison Jane Hargreaves,UK,,F,33,1962,Leader,0,1,0,0,0,1,1,0,0,0,0,1,1,13-05-1995,1208,12.13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-15,01,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Tomas (Tommy),Heinrich,Tomas (Tommy) Heinrich,Argentina,,M,33,1962,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,15-05-1995,0810,8.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 15,5, 1,1995 Spr,EVER,EVER-951-12,07,1,S Col-SE Ridge,,1,1,Wilderness Experience,,1995,1,0,TRUE
,Robert,Hempstead,Robert Hempstead,USA,,M,38,1957,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,26-05-1995,0945,9.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 26,5, 1,1995 Spr,EVER,EVER-951-14,08,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Josef H. (Sepp),Hinding,Josef H. (Sepp) Hinding,Austria,,M,47,1948,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,14-05-1995,1830,18.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-10,05,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Shigeki,Imoto,Shigeki Imoto,Japan,,M,32,1963,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,11-05-1995,0645,6.75,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 11,5, 1,1995 Spr,EVER,EVER-951-02,08,2,NE Ridge,,0,0,Rolwaling Treks,,1995,1,0,TRUE
,Caradoc (Crag),Jones,Caradoc (Crag) Jones,UK,,M,36,1958,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1995,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1995 Spr,EVER,EVER-951-13,06,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Luc,Jourjon,Luc Jourjon,France,,M,40,1954,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,0710,7.17,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-14,10,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Kazbek,Khamistaev,Kazbek Khamistaev,Russia,,M,46,1948,Leader,0,1,0,0,0,1,1,0,0,0,1,0,1,13-05-1995,1600,16,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-06,01,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Teodors,Kirsis,Teodors Kirsis,Latvia,,M,52,1942,Deputy Leader,0,0,1,0,0,1,1,0,0,0,1,0,1,14-05-1995,1530,15.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-11,02,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Michael,Knakkergaard-Jorgensen,Michael Knakkergaard-Jorgensen,Denmark,,M,27,1967,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,23-05-1995,1300,13,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 23,5, 1,1995 Spr,EVER,EVER-951-13,07,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Vladimir,Korenkov,Vladimir Korenkov,Russia,,M,39,1956,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,13-05-1995,1600,16,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-06,14,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Georgi,Kotov,Georgi Kotov,Russia,,M,40,1955,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,17-05-1995,0815,8.25,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,1995 Spr,EVER,EVER-951-14,11,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,Christian,Kuntner,Christian Kuntner,Italy,,M,33,1962,Climber,0,0,0,0,0,1,1,0,0,0,0,1,1,13-05-1995,1200,12,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 13,5, 1,1995 Spr,EVER,EVER-951-05,03,2,N Col-NE Ridge,,1,1,Thamserku Trekking,,1995,1,0,TRUE
,Constantin,Lacatusu,Constantin Lacatusu,Romania,,M,34,1961,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,17-05-1995,1400,14,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,1995 Spr,EVER,EVER-951-08,09,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,James Anthony (Jim),Litch,James Anthony (Jim) Litch,USA,,M,35,1959,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,0900,9,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-04,12,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,Colin E.,Lynch,Colin E. Lynch,USA,,M,40,1954,Co-Deputy Leader,0,0,1,0,0,1,1,0,0,0,1,0,1,16-05-1995,0800,8,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 16,5, 1,1995 Spr,EVER,EVER-951-04,03,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,Ali Nasuh,Mahruki,Ali Nasuh Mahruki,Turkey,,M,26,1968,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,17-05-1995,1030,10.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 17,5, 1,1995 Spr,EVER,EVER-951-14,12,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
,George,Mallory,George Mallory,Australia,,M,35,1959,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,0530,5.5,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-04,14,2,N Col-NE Ridge,,1,1,Peak Promotion,,1995,1,0,TRUE
,Waldemar,Niclevicz,Waldemar Niclevicz,Brazil,,M,29,1966,Climber,0,0,0,0,0,1,1,0,0,0,1,0,1,14-05-1995,,0,  -   -,,0,  -   -,,0,0,0,0,0,  -   -,,0,0,0,0,0,0,8849,May 14,5, 1,1995 Spr,EVER,EVER-951-13,08,2,N Col-NE Ridge,,1,1,Asian Trekking,,1995,1,0,TRUE
